variant,positive_weight,count_weight_alpha,count_sum_lambda,target_scale,graph_count,total_nodes,positive_graph_nodes,final_train_mse,graph_topk_hits,graph_topk_hit_rate,scene_topk_hits,scene_topk_hit_rate,gt_node_pred_mean,bg_node_pred_mean,gt_bg_ratio,pred_sum_graph_nodes,gt_sum_graph_nodes,pred_sum_ratio,heatmap_nonzero_pixels,heatmap_max,heatmap_mean,heatmap_sum,heatmap_gt_mean,heatmap_bg_mean
baseline_pos12,12.0,0.0,0.0,1.0,125,6375,79,0.14287758217810415,6,0.0759493670886076,7,0.05263157894736842,0.15135183930397034,0.14176861941814423,1.0675976102832783,904.5320434570312,80.0,11.306650161743164,5955,0.1737864911556244,0.027302546426653862,844.0582275390625,0.08534716069698334,0.02705175243318081
count_weight_yx6,12.0,6.0,0.0,1.0,125,6375,79,0.19850274092046655,6,0.0759493670886076,7,0.05263157894736842,0.20961017906665802,0.19646938145160675,1.0668847100650543,1253.5303955078125,80.0,15.669130325317383,5955,0.24037493765354156,0.03783980756998062,1169.817626953125,0.1182062178850174,0.03749256208539009
target_scale_x6_ref,12.0,0.0,0.0,6.0,125,6375,79,5.168834128632265,3,0.0379746835443038,4,0.03007518796992481,0.8159927129745483,0.7912785410881042,1.0312332138471227,5046.3525390625,80.0,63.07940673828125,5955,0.8784922361373901,0.1524568796157837,4713.20458984375,0.4602302014827728,0.15112708508968353
count_weight_yx6_sum0.01,12.0,6.0,0.01,1.0,125,6375,79,0.36981843099874606,3,0.0379746835443038,0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0,0.0,0.0,0.0,0.0,0.0
