positive_weight,count_weight_alpha,loss_name,output_activation,graph_count,total_nodes,positive_graph_nodes,final_train_loss,graph_topk_hits,graph_topk_hit_rate,scene_topk_hits,scene_topk_hit_rate,gt_node_pred_mean,bg_node_pred_mean,gt_bg_ratio,pred_sum_graph_nodes,gt_sum_graph_nodes,pred_sum_ratio,heatmap_nonzero_pixels,heatmap_max,heatmap_mean,heatmap_sum,heatmap_gt_mean,heatmap_bg_mean
0.0,10.0,poisson_nll,softplus,125,6375,79,0.11002800031327734,1,0.012658227848101266,2,0.015037593984962405,0.020894821733236313,0.02063628099858761,1.012528455813642,131.5767364501953,80.0,1.6447092294692993,5955,0.027435407042503357,0.0039636739529669285,122.53697967529297,0.011760413646697998,0.003929986618459225
0.0,20.0,poisson_nll,softplus,125,6375,79,0.14949777814599813,1,0.012658227848101266,2,0.015037593984962405,0.02816137857735157,0.027819782495498657,1.0122788911778222,177.3780975341797,80.0,2.217226266860962,5955,0.03563522547483444,0.005345465615391731,165.25506591796875,0.01585475727915764,0.005300058051943779
0.0,0.0,poisson_nll,softplus,125,6375,79,0.06823785592513341,1,0.012658227848101266,2,0.015037593984962405,0.011857157573103905,0.011725056916475296,1.0112665258317841,74.75767517089844,80.0,0.9344709515571594,5955,0.01685379631817341,0.002250303514301777,69.56813049316406,0.006669652182608843,0.0022312088403850794
4.0,0.0,poisson_nll,softplus,125,6375,79,0.2869180298950158,1,0.012658227848101266,2,0.015037593984962405,0.030687935650348663,0.030411476269364357,1.0090906267928468,193.89500427246094,80.0,2.42368745803833,5955,0.038689594715833664,0.005844160448759794,180.67222595214844,0.017278505489230156,0.005794757045805454
4.0,10.0,poisson_nll,softplus,125,6375,79,0.32436842021872014,1,0.012658227848101266,2,0.015037593984962405,0.0345044881105423,0.03419693186879158,1.00899367940173,218.02976989746094,80.0,2.725372076034546,5955,0.04284687712788582,0.0065726530738174915,203.19357299804688,0.019429605454206467,0.006517102010548115
4.0,20.0,poisson_nll,softplus,125,6375,79,0.3613876713701323,1,0.012658227848101266,2,0.015037593984962405,0.03792084380984306,0.03759053349494934,1.008787061107768,239.66574096679688,80.0,2.995821714401245,5955,0.04657810181379318,0.0072257244028151035,223.38327026367188,0.02135508321225643,0.007164675742387772
8.0,0.0,poisson_nll,softplus,125,6375,79,0.4980917348020217,1,0.012658227848101266,2,0.015037593984962405,0.03720708563923836,0.036967962980270386,1.006468375309064,235.68966674804688,80.0,2.9461207389831543,5955,0.04595721513032913,0.007106040138751268,219.6832275390625,0.020952895283699036,0.007046211510896683
8.0,10.0,poisson_nll,softplus,125,6375,79,0.5347578509163623,1,0.012658227848101266,2,0.015037593984962405,0.03959306702017784,0.039341650903224945,1.006390583800648,250.8228759765625,80.0,3.1352858543395996,5955,0.0485064759850502,0.007562961895018816,233.8089599609375,0.022297928109765053,0.00749929528683424
8.0,20.0,poisson_nll,softplus,125,6375,79,0.571205949418685,1,0.012658227848101266,2,0.015037593984962405,0.04179365932941437,0.04153302684426308,1.006275306784853,264.79364013671875,80.0,3.3099205493927,5955,0.05084793642163277,0.007984811440110207,246.85043334960938,0.023538485169410706,0.007917607203125954
12.0,0.0,poisson_nll,softplus,125,6375,79,0.7080549396247257,1,0.012658227848101266,2,0.015037593984962405,0.0405459925532341,0.04036243259906769,1.0045477921509283,257.32501220703125,80.0,3.2165627479553223,5955,0.049645449966192245,0.007759519852697849,239.88555908203125,0.022835060954093933,0.007694383151829243
12.0,10.0,poisson_nll,softplus,125,6375,79,0.7443948698534685,1,0.012658227848101266,2,0.015037593984962405,0.042250972241163254,0.0420616939663887,1.004500015499276,268.15826416015625,80.0,3.351978302001953,5955,0.05145016685128212,0.008086652494966984,249.99887084960938,0.02379624918103218,0.008018775843083858
12.0,20.0,poisson_nll,softplus,125,6375,79,0.7805997024786239,1,0.012658227848101266,2,0.015037593984962405,0.043867118656635284,0.04367310553789139,1.0044423934674298,278.431396484375,80.0,3.4803924560546875,5955,0.053156569600105286,0.008396883495151997,259.58966064453125,0.024707376956939697,0.008326411247253418
