raw_name,file_type,prefix_1,prefix_2,prefix_3,scan_start_time [TAI 93],scan_end_time [TAI 93],duration [sec],scan_start_HHMM,scan_start_HHMMSS,area_wkt,KR_Sea_overlap,tif_name,lon_min,lon_max,lat_min,lat_max
VJ203DNB.A2025001.1612.021.2025001222713.nc,3,A2025001,1612,21,1009901531.647181,1009901890.157294,358.51011300086975,16:11,16:11:24,"POLYGON ((159.67959594726562 33.948795318603516, 126.40071105957031 39.01448440551758, 126.12544250488281 59.65516662597656, 174.30148315429688 52.37517166137695, 159.67959594726562 33.948795318603516))",6.821361548088312,A2025001_1612_021.tif,126.1418702392578,174.3038702392578,33.94636959838867,59.84836959838867
VJ203DNB.A2025001.1618.021.2025001222918.nc,3,A2025001,1618,21,1009901891.383235,1009902249.893331,358.51009607315063,16:17,16:17:24,"POLYGON ((151.69778442382812 14.030982971191406, 123.9144515991211 18.28447723388672, 126.39625549316406 39.014766693115234, 159.67503356933594 33.94739532470703, 151.69778442382812 14.030982971191406))",51.17364332237314,A2025001_1618_021.tif,123.9246766357422,159.67567663574218,14.030720916748049,39.01172091674805
VJ203DNB.A2025001.1754.021.2025002001537.nc,3,A2025001,1754,21,1009907650.738861,1009908009.248934,358.51007306575775,17:53,17:53:23,"POLYGON ((133.4873809814453 32.360294342041016, 100.98965454101562 37.323429107666016, 100.96588134765625 57.9798583984375, 147.29544067382812 50.972591400146484, 133.4873809814453 32.360294342041016))",67.23407708636785,A2025001_1754_021.tif,100.98253033447266,147.29653033447266,32.360414093017575,58.13941409301758
VJ203DNB.A2025001.1800.021.2025002001537.nc,3,A2025001,1800,21,1009908010.474874,1009908368.984953,358.51007902622223,17:59,17:59:23,"POLYGON ((125.82693481445312 12.375175476074219, 98.26099395751953 16.59638786315918, 100.98381042480469 37.32323455810547, 133.4825439453125 32.35934829711914, 125.82693481445312 12.375175476074219))",32.82719768821275,A2025001_1800_021.tif,98.27198956298828,133.48298956298828,12.37491793823242,37.31991793823242
VJ203DNB.A2025002.1554.021.2025002220921.nc,3,A2025002,1554,21,1009986851.713266,1009987210.223358,358.5100920200348,15:53,15:53:24,"POLYGON ((162.70657348632812 30.478513717651367, 130.85499572753906 35.33167266845703, 131.32513427734375 56.006072998046875, 175.6277313232422 49.29671096801758, 162.70657348632812 30.478513717651367))",16.63142066828194,A2025002_1554_021.tif,130.86646435546874,175.62946435546874,30.4775563659668,56.1335563659668
VJ203DNB.A2025002.1600.021.2025002220923.nc,3,A2025002,1600,21,1009987211.449276,1009987569.959372,358.51009607315063,15:59,15:59:24,"POLYGON ((155.39881896972656 10.417216300964355, 128.06735229492188 14.605270385742188, 130.84548950195312 35.33197021484375, 162.6983642578125 30.478134155273438, 155.39881896972656 10.417216300964355))",0.0,A2025002_1600_021.tif,128.0774171142578,162.70041711425782,10.416806182861327,35.32880618286133
VJ203DNB.A2025002.1736.021.2025002221054.nc,3,A2025002,1736,21,1009992970.804526,1009993329.3146,358.51007401943207,17:35,17:35:23,"POLYGON ((136.5924072265625 28.873008728027344, 105.35324096679688 33.63978576660156, 106.0638198852539 54.32603454589844, 148.83187866210938 47.844974517822266, 136.5924072265625 28.873008728027344))",98.80720048935676,A2025002_1736_021.tif,105.36023114013672,148.83323114013672,28.872683685302732,54.429683685302734
VJ203DNB.A2025002.1742.021.2025002221146.nc,3,A2025002,1742,21,1009993330.540519,1009993689.050597,358.5100779533386,17:41,17:41:23,"POLYGON ((129.5629425048828 8.754876136779785, 102.39524841308594 12.918862342834473, 105.34351348876953 33.64006423950195, 136.58314514160156 28.873241424560547, 129.5629425048828 8.754876136779785))",1.2059625464213906,A2025002_1742_021.tif,102.40486309814452,136.58386309814452,8.754881134033203,33.6368811340332
VJ203DNB.A2025002.1918.021.2025003000851.nc,3,A2025002,1918,21,1009999091.685256,1009999450.195318,358.5100619792938,19:17,19:17:24,"POLYGON ((110.4548568725586 27.163721084594727, 79.9043960571289 31.83951759338379, 80.74080657958984 52.53822708129883, 122.03113555908203 46.28565979003906, 110.4548568725586 27.163721084594727))",0.0,A2025002_1918_021.tif,79.91035626220703,122.03035626220704,27.161659423828123,52.616659423828125
VJ203DNB.A2025003.1542.021.2025003200920.nc,3,A2025003,1542,21,1010072531.518369,1010072890.028493,358.5101240873337,15:41,15:41:24,"POLYGON ((159.1763916015625 6.786522388458252, 132.17062377929688 10.92805290222168, 135.24398803710938 31.64483642578125, 165.88743591308594 26.969463348388672, 159.1763916015625 6.786522388458252))",0.0,A2025003_1542_021.tif,132.18059704589842,165.88859704589845,6.786573211669921,31.64157321166992
