raw_name,file_type,prefix_1,prefix_2,prefix_3,scan_start_time [TAI 93],scan_end_time [TAI 93],duration [sec],scan_start_HHMM,scan_start_HHMMSS,area_wkt,tif_name,lon_min,lon_max,lat_min,lat_max,KR_Sea_overlap,temp
VNP03DNB.A2025001.1636.002.2025002020016.nc,3,A2025001,1636,2,1009902971.035808,1009903329.233083,358.1972750425339,16:35,16:35:24,"POLYGON ((155.09027099609375 36.421382904052734, 119.9252700805664 41.81052017211914, 118.78031921386719 62.3762321472168, 171.27175903320312 54.4178466796875, 155.09027099609375 36.421382904052734))",A2025001_1636_002.tif,118.79893658447266,171.27193658447266,36.42041293334961,62.65541293334961,0.0,A2025001_1636_002.tif
VNP03DNB.A2025001.1642.002.2025002020158.nc,3,A2025001,1642,2,1009903330.448553,1009903690.425051,359.97649800777435,16:41,16:41:23,"POLYGON ((146.4672393798828 16.58333396911621, 117.7072982788086 21.019697189331055, 119.92169189453125 41.81425476074219, 155.08584594726562 36.42396545410156, 146.4672393798828 16.58333396911621))",A2025001_1642_002.tif,117.71803448486328,155.0860344848633,16.58217626953125,41.81517626953125,99.99488991886352,A2025001_1642_002.tif
VNP03DNB.A2025001.1818.002.2025002023434.nc,3,A2025001,1818,2,1009909091.725621,1009909449.922873,358.197252035141,18:17,18:17:24,"POLYGON ((128.7832489013672 34.77702331542969, 94.45289611816406 40.04243087768555, 93.76973724365234 60.62990951538086, 143.9780731201172 53.00762939453125, 128.7832489013672 34.77702331542969))",A2025001_1818_002.tif,93.78704235839844,143.97704235839845,34.775308471679686,60.86930847167969,26.260406754895794,A2025001_1818_002.tif
VNP03DNB.A2025001.1824.002.2025002023431.nc,3,A2025001,1824,2,1009909451.13835,1009909809.335563,358.197212934494,18:23,18:23:24,"POLYGON ((120.57415008544922 14.95588207244873, 92.07528686523438 19.353967666625977, 94.4501953125 40.046119689941406, 128.77865600585938 34.77956771850586, 120.57415008544922 14.95588207244873))",A2025001_1824_002.tif,92.0866181640625,128.7796181640625,14.954112060546874,40.043112060546875,47.40008720875147,A2025001_1824_002.tif
VNP03DNB.A2025002.1618.002.2025003003425.nc,3,A2025002,1618,2,1009988290.59816,1009988648.795399,358.19723892211914,16:17,16:17:23,"POLYGON ((158.05882263183594 33.18221664428711, 124.43363189697266 38.33838653564453, 124.18914794921875 58.946041107177734, 172.37771606445312 51.62151336669922, 158.05882263183594 33.18221664428711))",A2025002_1618_002.tif,124.20458386230467,172.37858386230468,33.18097537231445,59.14897537231445,16.48082176415664,A2025002_1618_002.tif
VNP03DNB.A2025002.1624.002.2025003003622.nc,3,A2025002,1624,2,1009988650.010877,1009989009.987308,359.9764310121536,16:23,16:23:23,"POLYGON ((150.15602111816406 13.187844276428223, 121.94134521484375 17.546361923217773, 124.43040466308594 38.34217071533203, 158.05409240722656 33.18470764160156, 150.15602111816406 13.187844276428223))",A2025002_1624_002.tif,121.9528062133789,158.0548062133789,13.187113494873046,38.33911349487305,72.99810565111771,A2025002_1624_002.tif
VNP03DNB.A2025002.1800.002.2025003020716.nc,3,A2025002,1800,2,1009994411.287276,1009994769.484503,358.1972270011902,17:59,17:59:24,"POLYGON ((131.8403778076172 31.51786994934082, 99.0218276977539 36.568626403808594, 99.02061462402344 57.19206237792969, 145.33087158203125 50.149723052978516, 131.8403778076172 31.51786994934082))",A2025002_1800_002.tif,99.02520916748048,145.33020916748046,31.51720169067383,57.35920169067383,84.04931904350835,A2025002_1800_002.tif
VNP03DNB.A2025002.1806.002.2025003020717.nc,3,A2025002,1806,2,1009994770.699973,1009995128.897117,358.19714403152466,18:05,18:05:23,"POLYGON ((124.29661560058594 11.55440902709961, 96.26394653320312 15.88425064086914, 99.0177001953125 36.57166290283203, 131.83584594726562 31.520326614379883, 124.29661560058594 11.55440902709961))",A2025002_1806_002.tif,96.2744385986328,131.83343859863282,11.554552276611329,36.56855227661133,16.032561725519383,A2025002_1806_002.tif
VNP03DNB.A2025003.1600.002.2025003234247.nc,3,A2025003,1600,2,1010073610.163828,1010073970.140347,359.9765189886093,15:59,15:59:23,"POLYGON ((161.14566040039062 29.808635711669922, 128.89202880859375 34.76093292236328, 129.35614013671875 55.5023193359375, 173.95262145996094 48.70607376098633, 161.14566040039062 29.808635711669922))",A2025003_1600_002.tif,128.90389416503905,173.95189416503905,29.806904022216795,55.6369040222168,35.02644838866874,A2025003_1600_002.tif
VNP03DNB.A2025003.1606.002.2025003234243.nc,3,A2025003,1606,2,1010073971.355816,1010074329.553022,358.1972060203552,16:05,16:05:24,"POLYGON ((153.92141723632812 9.776540756225586, 126.09114074707031 14.078154563903809, 128.8866729736328 34.76394271850586, 161.1400146484375 29.810302734375, 153.92141723632812 9.776540756225586))",A2025003_1606_002.tif,126.10318157958984,161.14018157958984,9.776778686523436,34.76077868652344,0.1830953888119291,A2025003_1606_002.tif
